"","Order","Suborder","Family","Genus","Species","Mean_Converted_Value","Log_Mean_Converted_Value"
"1","Blattodea",NA,"Blaberidae","Blaberus","Blaberus discoidalis",4440,8.39840965542627
"2","Blattodea",NA,"Blaberidae","Blaberus","Blaberus giganteus",4330,8.37332282099653
"3","Blattodea",NA,"Blaberidae","Eublaberus","Eublaberus posticus",2200,7.69621263934641
"4","Blattodea",NA,"Blaberidae","Gromphadorhina","Gromphadorhina portentosa",10610,9.26955223160803
"5","Blattodea",NA,"Blaberidae","Macropanesthia","Macropanesthia rhinoceros",20000,9.90348755253613
"6","Blattodea",NA,"Blaberidae","Nauphoeta","Nauphoeta cinerea",591.168,6.38210024097014
"7","Blattodea",NA,"Blattidae","Blatta","Blatta orientalis",325,5.78382518232974
"8","Blattodea",NA,"Blattidae","Periplaneta","Periplaneta americana",900,6.80239476332431
"9","Blattodea",NA,"Blattidae","Periplaneta","Periplaneta fuliginosa",179.11,5.18800014223717
"10","Blattodea",NA,"Ectobiidae","Supella","Supella longipalpa",16.72,2.81660560765656
"11","Blattodea",NA,"Rhinotermitidae","Coptotermes","Coptotermes formosanus",2.95,1.08180517035173
"12","Blattodea",NA,"Rhinotermitidae","Heterotermes","Heterotermes tenuior",1.4,0.336472236621213
"13","Blattodea",NA,"Rhinotermitidae","Reticulitermes","Reticulitermes flavipes",2.97,1.08856195281461
"14","Blattodea",NA,"Rhinotermitidae","Schedorhinotermes","Schedorhinotermes sarawakensis",8.3,2.11625551480255
"15","Blattodea",NA,"Termitidae","Globitermes","Globitermes globosus",1.9,0.641853886172395
"16","Blattodea",NA,"Termitidae","Havilanditermes","Havilanditermes atripennis",8,2.07944154167984
"17","Blattodea",NA,"Termitidae","Homallotermes","Homallotermes eleanorae",2.2,0.78845736036427
"18","Blattodea",NA,"Termitidae","Macrotermes","Macrotermes carbonarius",11.93,2.47905623610982
"19","Blattodea",NA,"Termitidae","Macrotermes","Macrotermes gilvus",7,1.94591014905531
"20","Blattodea",NA,"Termitidae","Macrotermes","Macrotermes malaccensis",11.6,2.45100509811232
"21","Blattodea",NA,"Termitidae","Microcerotermes","Microcerotermes dubius",2.2,0.78845736036427
