Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 
GCA_000001215.4	Release 6 plus ISO1 MT	Drosophila melanogaster	143706478	Chromosome	2014-08-01	1869						
GCF_000001215.4	Release 6 plus ISO1 MT	Drosophila melanogaster	143706478	Chromosome	2014-08-01	1869						
GCA_030705265.1	ASM3070526v1	Helicoverpa armigera	355232002	Complete Genome	2023-08-14	31						
GCF_030705265.1	ASM3070526v1	Helicoverpa armigera	355232002	Complete Genome	2023-08-14	31	0.99508137	0.95989406	0.035187285	0.00018917896	0.004729474	lepidoptera_odb10
GCA_024364675.1	icAetTumi1.1	Aethina tumida	259967705	Complete Genome	2022-07-22	8						
GCF_024364675.1	icAetTumi1.1	Aethina tumida	259967705	Complete Genome	2022-07-22	8	0.9934087	0.9741055	0.0193032	0.00094161957	0.0056497175	endopterygota_odb10
GCA_037577465.1	SWU_Lb_1.0	Liposcelis bostrychophila	291667327	Complete Genome	2024-03-27	9						
GCA_032362555.1	ilAmyTran1.1	Amyelois transitella	327376598	Complete Genome	2023-10-04	32						
GCF_032362555.1	ilAmyTran1.1	Amyelois transitella	327376598	Complete Genome	2023-10-04	32	0.99375707	0.98675746	0.0069996216	0.0005675369	0.005675369	lepidoptera_odb10
GCA_963853865.1	ilHelHell1.1	Helleia helle	547306268	Complete Genome	2023-12-13	25						
GCA_038024825.1	ASM3802482v1	Polylopha cassiicola	302025494	Complete Genome	2024-03-26	22						
GCA_030269925.2	ASM3026992v2	Bombyx mori	461688958	Chromosome	2023-07-06	29						
GCF_030269925.1	ASM3026992v2	Bombyx mori	461688958	Chromosome	2023-07-06	29	0.9829739	0.9786228	0.0043511163	0.0022701477	0.014755959	lepidoptera_odb10
GCA_917563875.2	PGI_DIABVI_V3a	Diabrotica virgifera virgifera	2533404242	Chromosome	2022-07-29	10						
GCF_917563875.1	PGI_DIABVI_V3a	Diabrotica virgifera virgifera	2533404242	Chromosome	2022-07-29	10	0.9788136	0.96421844	0.014595103	0.0032956686	0.017890772	endopterygota_odb10
GCA_902850265.1	PGI_Spodlit_v1	Spodoptera littoralis	435647201	Chromosome	2022-06-24	31						
GCA_022674325.2	ASM2267432v2	Grapholita molesta	488440576	Chromosome	2024-03-06	28						
GCA_014607495.2	ASM1460749v2	Carposina sasakii	399040036	Chromosome	2020-09-16	31						
GCA_905220565.1	ilMelCinx1.1	Melitaea cinxia	499397863	Chromosome	2021-02-16	31						
GCF_905220565.1	ilMelCinx1.1	Melitaea cinxia	499397863	Chromosome	2021-02-16	31	0.98316306	0.9769202	0.0062429057	0.0015134317	0.015323496	lepidoptera_odb10
GCA_024334085.1	ASM2433408v1	Lutzomyia longipalpis	147838017	Chromosome	2022-07-20	4						
GCF_024334085.1	ASM2433408v1	Lutzomyia longipalpis	147838017	Chromosome	2022-07-20	4	0.96681887	0.9564688	0.0103500765	0.001826484	0.031354643	diptera_odb10
GCA_963565655.1	iyAleTest2.1	Aleiodes testaceus	110705161	Chromosome	2023-10-24	19						
GCA_910594885.2	idBibMarc1.1	Bibio marci	340009463	Chromosome	2022-10-14	6						
GCA_029203775.1	ASM2920377v1	Neoneuromus ignobilis	481437968	Chromosome	2023-03-14	12						
GCA_014132275.2	Sr_NBRP_v2.0	Samia ricini	452483983	Chromosome	2023-09-02	14						
