Species,Accession
Drosophila burlai,GCA_008042655.1
Drosophila nikananu,GCA_008042635.1
Drosophila bakoue,GCA_008044335.1
Drosophila vulcana,GCA_008042555.1
Drosophila seguyi,GCA_008042675.1
Drosophila jambulina,GCA_008042695.1
Drosophila birchii,GCA_008042755.1
Drosophila mayri,GCA_008042485.1
Drosophila truncata,GCA_008042515.1
Drosophila serrata,GCA_002093755.1
Drosophila bunnanda,GCA_008042815.1
Drosophila watanabei,GCA_008042575.1
Drosophila bocki,GCA_008042715.1
Drosophila leontia,GCA_008042735.1
Drosophila kikkawai,GCA_000224215.2
Drosophila kanapiae,GCA_008042475.1
Drosophila asahinai,GCA_008042795.1
Drosophila lacteicornis,GCA_008044355.1
Drosophila rufa,GCA_008044435.1
Drosophila tani,GCA_008042535.1
Drosophila auraria,GCA_008042615.1
Drosophila triauraria,GCA_014170255.1
Drosophila pectinifera,GCA_008042775.1
Drosophila simulans,GCA_004382185.1
Drosophila sechellia,GCA_004382195.1
Drosophila mauritiana,GCA_004382145.1
Drosophila melanogaster,GCA_003401745.1
Drosophila orena,GCA_005876975.1
Drosophila erecta,GCA_003286155.2
Drosophila yakuba,GCA_000005975.1
Drosophila eugracilis,GCA_000236325.2
Drosophila subpulchrella,GCA_014743375.1
Drosophila suzukii,GCF_013340165.1
Drosophila biarmipes,GCA_005234255.1
Drosophila takahashii,GCA_000224235.2
Drosophila elegans,GCA_000224195.2
Drosophila gunungcola,GCA_011057485.1
Drosophila rhopaloa,GCA_000236305.2
Drosophila ficusphila,GCA_000220665.2
Drosophila ananassae,GCA_003285975.3
Drosophila bipectinata,GCA_000236285.2
Drosophila pseudoobscura,GCA_009870125.2
Drosophila pseudoobscura,GCA_000001765.3
Drosophila persimilis,GCA_003286085.2
Drosophila miranda,GCA_003369915.2
Drosophila lowei,GCA_008121275.1
Drosophila athabasca,GCA_008121215.1
Drosophila azteca,GCA_005876895.1
Drosophila guanche,GCA_900245975.1
Drosophila subobscura,GCA_903684685.1
Drosophila bifasciata,GCA_009664405.1
Drosophila obscura,GCA_002217835.1
Drosophila willistoni,GCA_000005925.1
Drosophila novamexicana,GCA_003285875.3
Drosophila americana,GCA_900465395.1
Drosophila virilis,GCA_007989325.2
Drosophila montana,GCA_003086615.1
Drosophila mojavensis,GCA_000005175.1
Drosophila arizonae,GCA_001654025.1
Drosophila navojoa,GCA_001654015.2
Drosophila hydei,GCA_003285905.2
Drosophila nigromelanica,GCA_004149445.1
Drosophila micromelanica,GCA_004143825.1
Drosophila melanica,GCA_004143765.1
Drosophila robusta,GCA_004143805.1
Drosophila lacertosa,GCA_004143845.1
Drosophila grimshawi,GCA_000005155.1
Scaptomyza flava,GCA_003952975.1
Drosophila nasuta,GCA_002222885.1
Drosophila neonasuta,GCA_005889595.1
Drosophila albomicans,GCA_009650485.1
Drosophila innubila,GCA_004354385.1
Zaprionus indianus,GCA_001752445.1
Drosophila busckii,GCA_011750605.1
Scaptodrosophila lebanonensis,GCA_003285725.2
Phortica variegata,GCA_001014415.1
