Accession,one2one,one2zero,many2one,one2many,many2many,I,L,M,PG,PI,PM,UL
GCA_958299815.1,80,13707,3,4,5,149,4942,3221,5470,5,72,31
GCA_948107695.1,51,13840,0,1,0,26,3803,3981,5952,4,104,22
GCA_949129095.1,76,13811,1,3,0,49,3295,4426,5933,6,119,27
GCA_030463065.1,11,13880,0,1,0,9,1544,7151,5103,2,81,1
GCA_914767635.1,30,13839,4,8,1,35,3499,4341,5899,3,100,15
GCA_905231855.2,0,0,0,0,0,0,0,0,0,0,0,0
GCA_958301585.1,70,13813,2,5,0,45,4091,3915,5696,3,111,31
GCA_958450345.1,80,13792,5,1,2,61,3901,3595,6213,2,82,37
GCA_943734845.1,18,13870,2,0,0,9,2028,6069,5665,3,106,10
GCA_035046485.1,11,13852,0,4,2,31,1206,6619,5907,3,120,6
GCA_928272305.1,36,13827,4,5,5,40,3456,4119,6149,4,103,21
GCA_905220375.1,91,13785,1,8,2,76,4055,3870,5783,4,76,28
GCA_905115235.1,23,13862,0,3,2,17,1776,5737,6236,1,113,12
GCA_945859685.1,56,13761,1,1,5,93,3110,4404,6142,2,105,36
GCA_030788265.1,7596,5895,34,200,28,6226,5619,251,21,21,4,1750
GCA_943590905.1,60,13816,2,12,0,54,3923,3961,5834,4,98,18
GCA_910595825.1,50,13750,1,8,4,116,3206,4442,6002,2,100,24
GCA_951394005.1,86,13777,3,3,5,81,3268,3910,6514,5,84,29
GCA_963082655.1,52,13783,3,10,2,64,2888,3842,6952,6,101,39
GCA_949716465.1,43,13816,1,0,8,52,4257,3674,5793,1,92,23
GCA_946251815.1,37,13852,1,1,0,21,3304,4317,6126,4,105,15
GCA_905187475.1,51,13752,1,0,4,119,4028,3781,5841,2,102,19
GCA_907269125.1,29,13851,2,5,1,28,4074,3828,5848,0,101,13
GCA_963576555.1,42,13757,3,9,6,94,3704,3899,6050,2,103,40
GCA_024763615.1,7,13880,0,5,0,6,1430,6525,5823,1,102,5
GCA_930367185.1,42,13845,0,5,0,30,3864,3845,6034,2,102,15
GCA_920104205.1,42,13800,1,4,6,63,3104,4316,6277,1,100,28
GCA_955652365.1,35,13831,2,2,5,36,3791,3932,6005,2,102,23
GCA_945859705.1,49,13743,3,5,4,129,2983,4382,6285,3,93,17
GCA_932526625.1,54,13740,2,3,5,125,3750,3863,6017,1,110,26
GCA_916610145.1,47,13830,2,3,2,39,4003,3859,5869,2,99,21
GCA_007989325.1,8939,4774,40,36,20,8166,4569,188,13,47,2,907
GCA_951509635.1,61,13780,1,6,5,83,3614,4109,5956,1,100,28
GCA_905220385.1,49,13777,0,6,6,88,3768,3892,6013,3,104,24
GCA_958431115.1,39,13816,3,6,2,52,4292,3944,5478,3,101,21
GCA_932273835.1,88,13697,3,1,6,160,5036,3115,5476,4,70,31
GCA_949752695.1,43,13808,2,12,1,61,3629,4213,5864,5,102,18
GCA_916050605.1,35,13841,0,9,3,35,3328,4188,6211,2,114,14
GCA_905146935.1,40,13833,3,5,2,38,3880,3951,5909,3,93,18
GCA_911387755.1,47,13805,1,0,4,69,3158,4437,6101,5,108,13
