Accession,one2one,one2zero,many2one,one2many,many2many,I,L,M,PG,PI,PM,UL
GCA_917051295.2,6387,7245,216,56,56,6010,4994,714,1472,43,63,1177
GCA_933534255.1,6612,7167,189,43,39,5808,4589,928,1579,53,70,1446
GCA_905220565.1,7337,6211,230,61,59,6969,4680,474,987,64,68,1231
GCA_947532085.1,7034,6468,267,62,52,6703,5229,401,770,37,68,1265
GCA_921293045.1,7642,6033,272,42,32,7147,4275,471,1236,41,50,1253
GCA_949752705.1,9819,3399,368,77,58,9787,2947,210,192,52,48,1237
GCA_905147375.1,8271,5172,298,39,48,7887,4037,268,820,34,46,1381
GCA_948098905.1,11121,1738,431,99,88,11629,1600,84,11,55,41,1053
GCA_947507615.1,7859,5622,276,60,59,7311,4408,405,744,73,64,1468
GCA_905147385.1,6862,6773,237,43,48,6471,4728,580,1413,41,51,1189
GCA_949315895.1,7796,5595,304,47,64,7504,4599,360,579,56,57,1318
GCA_907165235.1,7714,5850,263,61,50,7176,4287,437,1050,44,74,1405
GCA_948253155.1,8991,4329,334,65,62,8896,3614,319,343,58,50,1193
GCA_949987655.1,11174,1561,424,114,110,11858,1466,68,5,44,21,1011
GCA_918857605.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_943193645.1,7894,5803,266,30,34,7419,3924,522,1318,37,38,1215
GCA_907269065.1,8063,5389,286,50,47,7737,4189,334,819,31,47,1316
GCA_949316375.1,11093,1909,419,80,81,11449,1720,118,34,50,29,1065
GCA_955850985.1,7417,6043,253,66,64,7136,5078,326,581,41,56,1255
GCA_963855985.1,8029,5323,307,66,56,7776,4286,385,593,51,58,1324
GCA_947359405.1,11162,1607,426,103,114,11779,1487,73,20,53,26,1035
GCA_921972225.1,11150,1662,438,95,97,11684,1563,61,17,48,21,1079
GCA_950108535.1,7473,6027,264,44,59,7214,4493,524,941,42,68,1191
GCA_950022335.1,11063,1653,432,100,118,11694,1511,105,12,55,25,1071
GCA_918843915.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_963859945.1,9374,3874,344,76,66,8684,3039,602,189,645,44,1270
GCA_949315975.1,7356,6236,239,51,49,6969,4264,818,1079,57,73,1213
GCA_963582015.1,7811,5643,289,50,53,7348,4712,321,555,53,51,1433
GCA_937595015.1,5237,8560,143,54,53,4859,6213,875,1367,42,104,1013
GCA_907164795.1,8582,4889,313,53,45,8244,3557,401,878,30,53,1310
GCA_958496365.1,10593,2441,413,94,75,10672,2049,296,53,377,43,983
