Accession,one2one,one2zero,many2one,one2many,many2many,I,L,M,PG,PI,PM,UL
GCA_916610235.2,8351,1415,12,96,14,7872,923,356,126,68,9,591
GCA_929113495.1,8813,1020,12,30,14,8386,588,281,140,37,11,502
GCA_944738655.2,0,0,0,0,0,0,0,0,0,0,0,0
GCA_028455615.1,7870,1980,14,35,8,7054,723,983,209,330,58,581
GCA_009193385.2,1090,8840,0,4,2,830,2187,1577,5017,75,59,200
GCA_946251845.1,8957,897,11,35,7,8504,545,236,109,34,5,510
GCA_028455575.1,8065,1789,16,31,8,7315,857,654,238,280,37,561
GCA_028455605.1,8168,1685,14,35,9,7340,712,764,175,341,34,579
GCA_930367275.1,9245,448,21,64,27,9143,312,90,40,14,6,340
GCA_028455555.1,7963,1852,10,77,9,7009,785,793,219,418,51,667
GCA_963855975.1,8913,930,14,21,12,8507,551,246,121,25,12,483
GCA_905332935.1,9267,425,19,57,28,9144,290,92,37,19,6,357
GCA_028455745.1,7903,1964,11,40,3,6403,658,1066,201,528,39,1050
GCA_016802725.1,5762,4047,6,54,13,4863,2137,938,931,193,40,843
GCA_028453695.1,8325,1532,10,29,9,7608,806,522,186,225,18,580
GCA_910591885.2,9215,459,20,69,30,9128,323,89,40,15,5,343
GCA_917208135.1,1170,8761,1,1,1,948,2447,1440,4826,71,47,165
GCA_028454225.1,8446,1396,21,22,6,7317,774,480,124,143,17,1089
GCA_020010945.3,1328,8593,2,9,1,1004,1976,1474,5074,85,68,263
GCA_028453745.1,7337,2522,16,28,6,6071,635,1643,137,784,101,570
GCA_911387925.1,9252,441,20,60,27,9142,318,84,33,17,5,345
GCA_951802745.1,9182,608,15,24,16,8913,405,141,60,21,2,403
GCA_911622165.1,9204,481,22,67,25,9099,332,90,46,17,10,348
GCA_960531205.1,8906,928,17,24,11,8490,531,265,121,43,10,484
GCA_916610255.1,8557,1270,12,28,16,8011,786,324,150,64,10,600
GCA_028454255.1,8068,1789,16,28,9,7347,813,780,153,287,40,522
GCA_028454235.1,8161,1696,15,25,7,7236,633,908,130,435,25,578
GCA_948146005.1,9155,638,18,16,16,8884,427,134,71,21,6,402
GCA_003314205.1,9202,129,5,132,131,9562,73,53,3,8,0,246
GCA_907165295.1,9174,628,15,16,17,8874,412,127,78,21,9,422
GCA_951804975.1,9187,580,18,67,14,8936,421,111,45,15,3,414
GCA_910592295.1,8936,895,10,27,12,8542,607,170,112,29,4,479
GCA_929108735.1,8872,968,11,36,8,8473,586,253,117,28,6,476
GCA_905332965.1,9235,446,19,72,27,9117,303,94,40,19,9,363
GCA_963556215.1,9244,467,18,61,22,9101,330,88,38,31,11,346
GCA_933228735.2,1594,8335,2,3,2,1277,2578,1345,4374,73,38,260
GCA_945859595.1,9097,697,16,25,15,8746,477,140,70,24,5,478
GCA_914767705.2,1892,8034,2,2,2,1509,2352,1327,4307,120,47,283
GCA_947577245.1,8920,909,14,30,12,8500,542,226,129,37,7,499
GCA_916610135.1,9045,809,14,18,10,8572,494,172,137,31,6,533
GCA_907164935.1,8798,992,17,27,18,8301,744,157,87,26,4,626
